City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
247,pisco,-13.7,-76.2167,75.25,64,40,9.22,PE,1684946830
248,guerrero negro,27.9769,-114.0611,65.19,61,58,11.36,MX,1684946559
249,mugia,43.1041,-9.2179,79.92,75,32,26.73,ES,1684946831
250,jaguaruana,-4.8339,-37.7811,87.1,61,79,6.76,BR,1684946831
251,illizi,26.4833,8.4667,96.85,8,100,16.64,DZ,1684946831
252,hadibu,12.65,54.0333,85.24,70,40,3.24,YE,1684946832
253,east london,-33.0153,27.9116,63.54,72,0,5.75,ZA,1684946837
254,talcahuano,-36.7167,-73.1167,53.28,100,75,10.36,CL,1684946837
255,fale old settlement,-9.3852,-171.2468,80.96,80,59,6.89,TK,1684946838
256,tual,-5.6667,132.75,81.68,75,100,22.41,ID,1684946838
257,coremas,-7.0144,-37.9458,89.73,41,88,9.31,BR,1684946838
258,luderitz,-26.6481,15.1594,56.79,75,54,1.74,NA,1684946839
259,zouerate,22.7187,-12.4521,83.5,25,95,5.06,MR,1684946839
260,richards bay,-28.783,32.0377,65.84,87,8,8.99,ZA,1684946839
261,kaa-khem,51.6833,94.7333,43.7,51,59,9.78,RU,1684946839
262,la passe,45.5549,-0.8967,71.83,64,100,16.78,FR,1684946840
263,vilyuchinsk,52.9306,158.4028,34.07,86,12,8.68,RU,1684946769
264,kassala,15.451,36.4,100.76,13,2,6.49,SD,1684946840
265,ngaruawahia,-37.6674,175.1555,48.56,92,3,5.01,NZ,1684946840
266,brak,27.5496,14.2714,97.14,6,87,7.76,LY,1684946840
267,lebu,-37.6167,-73.65,55.58,68,73,10.56,CL,1684946841
268,karratha,-20.7377,116.8463,68.95,37,2,7.7,AU,1684946841
269,zhaqsy,51.9083,67.3133,64.74,34,77,7.25,KZ,1684946841
270,midvagur,62.0511,-7.1939,47.23,71,75,29.93,FO,1684946841
271,puerto colombia,10.9878,-74.9547,87.89,71,100,10.04,CO,1684946842
272,batamshinskiy,50.5594,58.2747,64.94,41,56,5.59,KZ,1684946842
273,le grazie di ancona,43.6008,13.5153,76.35,27,5,5.75,IT,1684946842
274,severo-yeniseyskiy,60.3725,93.0408,29.82,93,89,3.91,RU,1684946842
275,la mira,18.035,-102.3266,87.78,57,96,7.18,MX,1684946843
276,petropavlovsk-kamchatsky,53.0452,158.6483,32.59,86,0,0.0,RU,1684946843
277,stanley,54.868,-1.6985,64.27,67,100,6.91,GB,1684946691
278,nar'yan-mar,67.6713,53.087,62.85,67,81,11.1,RU,1684946843
279,acarau,-2.8856,-40.12,84.74,69,60,14.61,BR,1684946844
280,sao felix do xingu,-6.6447,-51.995,88.93,51,99,6.96,BR,1684946844
281,arar,30.9753,41.0381,89.62,17,8,11.5,SA,1684946557
282,tucupita,9.0622,-62.051,93.04,45,55,7.16,VE,1684946844
283,kalach,50.4258,41.0261,64.8,87,90,5.03,RU,1684946845
284,jieshi,22.8134,115.8257,75.69,90,82,8.08,CN,1684946845
285,ballenstedt,51.7167,11.2333,55.9,79,97,4.45,DE,1684946845
286,haiku-pauwela,20.9219,-156.3051,75.04,78,20,13.8,US,1684946846
287,caibiran,11.5717,124.5822,81.37,82,72,1.21,PH,1684946846
288,muskegon,43.3,-86.1334,71.46,54,75,10.36,US,1684946846
289,swift current,50.2834,-107.8014,58.01,77,75,13.8,CA,1684946717
290,ulaangom,49.9811,92.0667,53.35,46,100,1.74,MN,1684946846
291,port-vila,-17.7338,168.3219,73.04,68,100,14.38,VU,1684946847
292,sitka,57.0531,-135.33,48.09,87,100,5.75,US,1684946581
293,gorontalo,0.5412,123.0595,75.97,90,96,1.3,ID,1684946847
294,mansa,29.9833,75.3833,78.17,62,62,11.23,IN,1684946847
295,ankazoabo,-22.2833,44.5167,64.38,55,1,8.5,MG,1684946848
296,anastacio,-20.4836,-55.8069,88.2,28,0,7.72,BR,1684946848
297,machico,32.7,-16.7667,72.12,81,75,3.44,PT,1684946848
298,as sulayyil,20.4607,45.5779,97.05,18,61,7.67,SA,1684946848
299,totoras,-32.5844,-61.1685,73.89,85,98,9.24,AR,1684946848
300,naze,28.3667,129.4833,70.72,77,43,9.62,JP,1684946849
301,kruisfontein,-34.0033,24.7314,62.89,33,1,6.46,ZA,1684946849
302,kingston,17.997,-76.7936,90.25,65,20,8.05,JM,1684946691
303,umm kaddadah,13.6017,26.6876,93.36,13,2,4.38,SD,1684946849
304,punta arenas,-53.15,-70.9167,41.02,87,100,8.05,CL,1684946850
305,rabo de peixe,37.8,-25.5833,65.71,59,20,13.8,PT,1684946850
306,natal,-5.795,-35.2094,88.45,58,20,11.5,BR,1684946773
307,waddan,29.1614,16.139,97.79,6,0,10.8,LY,1684946850
308,sao vicente,-23.9631,-46.3919,84.38,73,75,5.61,BR,1684946850
309,kedrovyy,56.1667,91.8167,41.41,66,37,2.15,RU,1684946851
310,tiznit,29.5833,-9.5,64.98,60,2,13.47,MA,1684946851
311,katabu,-4.9333,122.5167,74.53,95,54,3.49,ID,1684946851
312,issenye,-2.0,34.3333,68.77,81,82,1.61,TZ,1684946851
313,usogorsk,63.4106,48.6872,66.69,59,89,4.74,RU,1684946852
314,tarfaya,27.9358,-12.9218,67.66,70,0,12.53,MA,1684946852
315,kapuskasing,49.4169,-82.4331,41.09,60,20,8.05,CA,1684946733
316,santa marta de ortigueira,43.6833,-7.85,62.26,82,69,4.0,ES,1684946852
317,lihue,21.9789,-159.3672,74.79,86,20,14.97,US,1684946853
318,embarcacion,-23.209,-64.096,78.22,85,100,2.19,AR,1684946853
319,baiyin,36.5583,104.2081,53.56,49,100,2.15,CN,1684946853
320,pimenta bueno,-11.6725,-61.1936,90.36,45,53,4.72,BR,1684946853
321,lazaro cardenas,17.9583,-102.2,87.08,58,99,6.35,MX,1684946853
322,tromso,69.6496,18.957,48.22,53,40,28.77,NO,1684946854
323,hasaki,35.7333,140.8333,55.22,63,43,3.29,JP,1684946854
324,auki,-8.7676,160.7034,77.34,89,12,3.27,SB,1684946854
325,male,4.1748,73.5089,85.95,79,20,5.75,MV,1684946854
326,bodaybo,57.8506,114.1933,45.25,77,99,3.22,RU,1684946855
327,klamath falls,42.2249,-121.7817,59.05,50,0,4.0,US,1684946742
328,todos santos,23.45,-110.2167,76.55,47,67,8.55,MX,1684946804
329,puno,-15.8333,-70.0333,54.97,31,41,6.11,PE,1684946855
330,lethem,3.3803,-59.7968,90.77,55,44,7.11,GY,1684946856
331,nova sintra,14.8667,-24.7167,67.8,82,99,20.76,CV,1684946856
332,keflavik,64.0049,-22.5624,46.83,61,75,31.07,IS,1684946856
333,copiapo,-27.3667,-70.3333,60.49,27,0,7.58,CL,1684946676
334,brookings,44.3114,-96.7984,80.94,44,0,12.66,US,1684946713
335,port alfred,-33.5906,26.891,63.18,80,11,9.33,ZA,1684946857
336,la sarre,48.8002,-79.1996,47.75,32,7,13.89,CA,1684946857
337,buka,40.8108,69.1986,69.62,27,0,7.25,UZ,1684946857
338,polovinnoye,54.7914,65.9864,65.19,43,32,4.29,RU,1684946857
339,scalby,53.7667,-0.7167,73.17,66,30,5.77,GB,1684946858
340,dar kulayb,26.0686,50.5039,96.96,42,99,7.25,BH,1684946858
341,icano,-28.9193,-65.3282,80.8,52,57,4.94,AR,1684946858
342,whitehorse,60.7161,-135.0538,49.1,56,100,9.22,CA,1684946765
343,kununurra,-15.7667,128.7333,60.78,77,15,0.0,AU,1684946858
344,dapa,9.7594,126.0531,82.0,81,100,5.39,PH,1684946859
345,labasa,-16.4167,179.3833,74.53,89,95,7.09,FJ,1684946859
346,verkh-chebula,56.0308,87.6218,42.66,54,49,5.3,RU,1684946859
347,mertola,37.6592,-7.6643,74.43,47,87,5.91,PT,1684946828
348,talakan,50.3167,130.3667,54.97,89,93,4.16,RU,1684946860
349,san antonio de pale,-1.4014,5.6325,81.28,77,100,5.66,GQ,1684946860
350,nuuk,64.1835,-51.7216,39.81,56,75,11.5,GL,1684946860
351,blackburn,53.75,-2.4833,64.74,69,10,3.0,GB,1684946860
352,hereford,52.0568,-2.7148,67.6,70,38,11.23,GB,1684946860
353,thames,-37.1333,175.5333,48.38,92,2,4.07,NZ,1684946861
354,dudinka,69.4058,86.1778,31.06,91,99,3.53,RU,1684946861
355,kerikeri,-35.2268,173.9474,51.04,95,10,4.59,NZ,1684946861
356,namibe,-15.1961,12.1522,72.27,68,1,12.91,AO,1684946861
357,siguiri,11.6667,-9.5,94.1,35,78,6.67,GN,1684946861
358,alliance,40.9153,-81.1059,79.07,65,65,7.14,US,1684946862
359,alice springs,-23.7,133.8833,42.35,65,0,3.96,AU,1684946862
360,hotan,37.0997,79.9269,71.46,33,100,4.61,CN,1684946862
361,korla,41.7597,86.1469,70.5,20,100,4.05,CN,1684946862
362,jiayuguan,39.8167,98.3,54.09,22,100,4.07,CN,1684946863
363,rabaul,-4.1967,152.1721,77.43,86,100,3.36,PG,1684946863
364,tara,56.8944,74.371,56.39,51,38,6.4,RU,1684946778
365,fort bragg,35.139,-79.006,74.19,34,0,9.22,US,1684946829
366,itatinga,-23.1017,-48.6158,74.48,42,0,7.02,BR,1684946864
367,sechura,-5.5569,-80.8222,81.66,60,68,8.81,PE,1684946864
368,roma,43.2128,-75.4557,65.73,61,100,14.97,US,1684946864
369,vila do maio,15.1333,-23.2167,79.59,79,99,14.5,CV,1684946864
370,lidzbark warminski,54.1259,20.5795,64.99,68,73,0.74,PL,1684946864
371,port-cartier,50.0334,-66.8654,50.76,56,100,5.39,CA,1684946870
372,kharkhorin,47.1975,102.8238,44.6,60,75,7.58,MN,1684946870
373,bereznik,62.8551,42.7072,61.05,87,100,1.66,RU,1684946870
374,rioja,-29.4111,-66.8507,77.54,49,0,5.3,AR,1684946870
375,zaozersk,69.4005,32.4476,59.04,56,91,25.12,RU,1684946871
376,itanhaem,-24.1831,-46.7889,75.51,66,0,6.13,BR,1684946871
377,bandon,51.7469,-8.7425,63.99,68,64,10.74,IE,1684946600
378,ormara,25.2088,64.6357,84.06,85,63,18.3,PK,1684946871
379,shahrak,34.1074,64.3052,56.77,40,11,12.06,AF,1684946872
380,cartagena del chaira,1.3349,-74.8429,81.86,84,65,2.89,CO,1684946872
381,kalmunai,7.4167,81.8167,81.88,79,16,11.65,LK,1684946872
382,padang,-0.9492,100.3543,77.05,90,35,3.56,ID,1684946872
383,anna regina,7.2644,-58.5077,84.0,70,11,9.6,GY,1684946873
384,tumayr,25.7039,45.868,84.79,32,90,15.05,SA,1684946874
385,wanxian,30.8039,108.3897,70.54,78,100,2.95,CN,1684946874
386,amble,55.3333,-1.5833,58.23,68,100,5.75,GB,1684946875
387,dickinson,29.4608,-95.0513,86.02,71,0,8.05,US,1684946851
388,queenstown,-31.8976,26.8753,57.51,26,37,7.31,ZA,1684946875
389,yarmouth,41.7057,-70.2286,71.65,68,0,10.36,US,1684946824
390,harper,4.375,-7.7169,82.27,83,99,8.72,LR,1684946877
391,yuzhno-kurilsk,44.0306,145.8556,41.23,82,100,5.64,RU,1684946878
392,ulanhot,46.0833,122.0833,68.09,41,100,8.05,CN,1684946878
393,camaqua,-30.8511,-51.8122,82.92,47,36,4.16,BR,1684946879
394,sirsilla,18.3833,78.8333,95.79,27,81,6.08,IN,1684946879
395,rampur,28.8167,79.0333,80.58,55,100,7.4,IN,1684946879
396,tutoia,-2.7619,-42.2744,82.56,81,98,10.74,BR,1684946879
397,nizhneudinsk,54.9076,99.0276,37.8,67,98,10.58,RU,1684946880
398,taulaga,-11.0553,-171.0883,81.5,68,57,3.62,AS,1684946880
